protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
sp|Q9W5Y0,DROME,NA,NEP3,1,48,14,46,48,34,48,19,47,58,62,25,60,29,36,32,41,51,43,17,28
tr|E8NH67,DROME,NA,E8NH67,1,31,60,24,15,6,46,15,11,12,20,3,27,36,12,28,26,22,30,0,16
tr|Q9W5W8,DROME,NA,Q9W5W8,1,33,6,18,17,13,17,8,15,24,37,8,9,14,10,11,27,19,21,1,4
tr|Q9W5W6,DROME,NA,Q9W5W6,1,10,10,17,23,20,6,17,12,18,26,11,10,12,14,14,13,15,15,4,5
tr|Q9W5W7,DROME,NA,Q9W5W7,1,39,10,24,36,17,39,18,25,21,56,17,18,35,31,34,39,28,34,5,19
tr|Q9W5X0,DROME,NA,Q9W5X0,1,6,3,17,10,10,15,4,15,16,14,4,11,4,8,14,12,15,17,2,4
sp|P35220,DROME,NA,CTNA,1,89,14,70,69,17,32,11,47,73,83,35,37,26,43,59,64,54,74,4,16
tr|Q8SYJ2,DROME,NA,Q8SYJ2,1,8,1,3,4,2,5,0,2,7,6,2,5,7,4,4,5,4,5,2,7
sp|P08181,DROME,NA,CSK2A,1,16,3,27,20,13,13,15,18,23,36,10,18,14,12,22,11,13,24,5,23
tr|Q8MS38,DROME,NA,Q8MS38,1,28,18,33,43,27,18,25,54,61,93,17,55,23,28,21,67,31,34,7,16
tr|Q8SX81,DROME,NA,Q8SX81,1,39,32,41,46,43,29,22,72,69,84,19,62,23,24,32,64,50,44,5,30
tr|Q8IRZ1,DROME,NA,Q8IRZ1,1,43,10,32,49,15,24,25,20,37,62,20,36,27,36,45,40,27,30,9,14
sp|Q8SY96,DROME,NA,NFU1,1,13,5,15,22,17,25,5,13,15,25,10,13,15,14,14,21,15,22,1,3
tr|Q7KMM4,DROME,NA,Q7KMM4,1,73,7,65,50,52,54,33,41,48,68,16,39,51,44,50,50,47,72,21,43
tr|A0A3Q7YRW7,DROME,NA,A0A3Q7YRW7,1,11,5,12,23,4,15,3,5,22,20,2,7,17,8,15,19,14,10,2,0
sp|P39205,DROME,NA,CIN,1,37,15,34,33,28,40,8,39,34,66,9,25,36,23,27,51,36,47,3,10
tr|O76874,DROME,NA,O76874,1,92,0,38,96,20,57,11,32,52,65,9,32,55,21,60,91,103,35,1,9
tr|Q9V3G9,DROME,NA,Q9V3G9,1,16,10,10,9,11,13,4,10,13,13,6,10,16,6,11,7,6,13,1,10
sp|P09957,DROME,NA,YELL,1,34,6,38,17,24,39,13,28,13,41,7,33,43,20,29,41,39,36,14,26
tr|A0A3Q7YTD7,DROME,NA,A0A3Q7YTD7,1,14,3,9,12,15,23,1,15,9,23,5,9,8,8,11,11,17,16,2,7
tr|O76895,DROME,NA,O76895,1,23,2,22,16,9,29,13,26,12,40,7,15,14,20,24,26,15,24,5,9
tr|M9PGB8,DROME,NA,M9PGB8,1,39,3,22,26,17,23,17,28,16,49,9,15,23,18,25,28,26,32,5,18
sp|P16914,DROME,NA,ELAV,1,75,2,14,14,16,37,1,24,18,31,12,29,26,60,15,27,32,39,1,10
sp|Q7KW39,DROME,NA,MMSA,1,55,6,24,24,20,46,10,29,32,38,17,26,27,23,20,24,37,47,5,10
tr|Q9I7Z8,DROME,NA,Q9I7Z8,1,99,27,53,113,52,49,37,63,80,223,17,54,48,84,88,97,64,76,17,36
tr|Q9W5G1,DROME,NA,Q9W5G1,1,82,17,41,61,46,42,24,50,36,164,33,47,38,73,45,87,74,47,13,27
sp|Q9V3S0,DROME,NA,CP4G1,1,42,5,34,34,22,29,16,32,37,56,24,21,25,15,30,34,32,41,5,22
tr|Q9W5G3,DROME,NA,Q9W5G3,1,24,6,20,12,30,37,3,29,14,31,7,23,14,27,11,38,26,29,5,21
tr|Q6W4I1,DROME,NA,Q6W4I1,1,22,7,17,23,13,15,9,13,20,33,3,10,14,8,22,18,10,19,6,14
tr|M9NEM2,DROME,NA,M9NEM2,1,95,12,54,73,21,44,28,23,48,60,21,31,38,51,46,70,37,51,8,19
tr|O77425,DROME,NA,O77425,1,47,6,11,19,10,26,10,17,10,25,4,12,12,14,12,19,19,28,0,3
tr|E4NKJ0,DROME,NA,E4NKJ0,1,17,24,16,23,13,11,25,10,24,21,8,11,15,16,21,17,23,13,5,7
sp|Q9W5E4,DROME,NA,MBB1A,1,94,21,64,94,38,39,21,46,110,159,10,42,37,76,49,94,40,67,14,18
tr|X2JDA8,DROME,NA,X2JDA8,1,81,13,89,86,31,138,26,45,61,96,47,93,105,84,80,108,54,58,5,21
sp|Q9W5E1,DROME,NA,RBX1A,1,9,8,8,8,4,4,5,5,7,4,2,6,2,4,5,7,3,9,6,2
tr|O77430,DROME,NA,O77430,1,8,4,17,19,5,5,2,14,17,13,4,7,7,5,4,8,12,6,3,2
tr|X2JDR3,DROME,NA,X2JDR3,1,149,21,92,126,65,134,34,115,84,165,32,98,157,113,119,192,168,182,39,83
tr|Q9V3T2,DROME,NA,Q9V3T2,1,28,3,7,13,21,30,7,19,19,27,9,9,18,16,12,15,15,24,1,13
sp|Q9W5D4,DROME,NA,POMT2,1,52,11,21,27,41,58,28,30,35,91,20,37,42,26,32,54,47,56,25,32
tr|Q9W5D3,DROME,NA,Q9W5D3,1,101,22,44,71,27,53,30,31,35,170,22,41,48,69,70,64,43,73,11,20
tr|A0A3Q7YTS9,DROME,NA,A0A3Q7YTS9,1,9,2,10,6,6,6,3,10,7,15,7,9,4,11,12,7,7,10,0,9
sp|Q24472,DROME,NA,RBF,1,51,27,42,65,37,32,21,55,54,81,30,44,36,41,43,59,45,47,10,25
tr|O77436,DROME,NA,O77436,1,23,6,30,30,28,22,9,26,30,45,10,16,14,15,25,29,20,21,2,20
sp|P50887,DROME,NA,RL22,1,89,1,16,11,5,7,1,7,56,11,2,12,26,1,8,14,9,16,1,6
tr|Q8SXG9,DROME,NA,Q8SXG9,1,20,2,11,21,12,19,3,9,2,16,5,9,34,27,16,41,46,14,2,13
sp|P49630,DROME,NA,RL36,1,7,0,3,6,2,7,5,5,19,13,3,4,1,3,15,4,8,7,0,3
tr|Q9W5E7,DROME,NA,Q9W5E7,1,10,1,2,12,6,7,3,4,9,8,4,3,4,3,10,4,4,9,5,6
tr|X2J9Z8,DROME,NA,X2J9Z8,1,95,12,45,87,15,36,14,31,50,108,16,43,27,98,53,96,59,38,8,11
tr|Q9W5C5,DROME,NA,Q9W5C5,1,22,0,2,4,1,6,4,3,4,9,2,9,12,22,9,21,16,5,1,0
sp|Q9V439,DROME,NA,MED22,1,11,2,9,14,4,2,2,6,11,18,8,8,1,8,9,13,7,5,0,5
tr|Q9W5C2,DROME,NA,Q9W5C2,1,29,3,9,20,26,20,13,25,33,48,6,8,15,17,13,24,15,26,2,16
sp|Q9W5B6,DROME,NA,MTU1,1,36,9,24,14,22,27,12,18,22,38,4,18,14,23,22,27,17,26,5,11
tr|C1C5A2,DROME,NA,C1C5A2,1,33,7,27,26,19,21,11,16,28,39,3,18,17,20,27,20,17,28,10,18
sp|P12297,DROME,NA,SUWA,1,77,9,51,78,21,65,18,32,59,73,12,41,64,60,79,107,50,43,1,23
tr|B4F5T8,DROME,NA,B4F5T8,1,22,12,16,18,8,12,4,12,15,38,2,13,12,13,4,20,10,13,3,5
tr|Q9V3U1,DROME,NA,Q9V3U1,1,17,12,34,27,25,30,21,36,45,52,10,28,29,28,26,32,31,36,10,34
tr|O96989,DROME,NA,O96989,1,46,10,39,41,27,28,16,25,22,71,13,12,14,33,40,45,21,39,6,27
tr|Q9V3J5,DROME,NA,Q9V3J5,1,50,10,14,24,33,37,7,34,25,76,28,20,29,15,16,51,33,34,7,15
tr|Q5BII6,DROME,NA,Q5BII6,1,32,2,11,10,9,25,4,17,14,25,4,16,7,8,10,14,15,30,0,2
tr|Q9V3R3,DROME,NA,Q9V3R3,1,28,7,18,39,17,22,9,16,19,32,14,13,19,21,14,23,28,29,3,11
tr|Q9V3E0,DROME,NA,Q9V3E0,1,27,3,22,33,26,36,9,16,21,52,8,14,17,20,30,37,12,33,6,22
tr|Q9V3I0,DROME,NA,Q9V3I0,1,35,13,12,24,11,17,6,16,16,31,7,16,15,16,12,21,17,19,1,7
tr|Q9W5B0,DROME,NA,Q9W5B0,1,27,0,17,14,11,13,11,14,6,40,1,8,53,25,30,23,17,16,2,14
tr|Q9W5A9,DROME,NA,Q9W5A9,1,38,1,19,42,10,35,32,23,30,37,7,11,63,82,15,38,36,18,0,32
tr|F9W317,DROME,NA,F9W317,1,37,0,15,55,7,33,37,22,42,39,3,19,50,32,25,68,29,20,1,32
tr|Q9W5A7,DROME,NA,Q9W5A7,1,29,1,15,26,15,24,43,5,13,29,2,21,34,70,12,47,13,11,5,21
tr|Q9W5A6,DROME,NA,Q9W5A6,1,13,1,5,8,12,12,9,6,1,21,4,6,28,44,8,17,11,9,2,13
