protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
sp|P05648,BACSU,FOK+20,DNAA,1,34,0,29,36,21,17,13,40,38,40,8,21,20,20,20,27,24,23,4,11
sp|P05649,BACSU,FOK+20,DPO3B,1,22,1,23,33,14,15,4,39,24,38,4,15,18,16,17,31,26,31,1,6
sp|P05650,BACSU,FOK+20,RLBA,1,3,0,5,6,4,7,1,5,3,6,3,4,2,3,3,4,2,8,1,1
sp|P05651,BACSU,FOK+20,RECF,1,19,0,24,24,9,22,12,22,26,45,9,14,8,29,21,21,21,28,2,14
sp|P37525,BACSU,FOK+20,REMB,1,2,0,5,3,6,3,2,7,8,4,3,3,4,3,2,9,4,10,0,3
sp|P05652,BACSU,FOK+20,GYRB,1,40,2,41,56,15,53,16,45,43,52,16,33,21,21,36,31,46,41,2,28
sp|P05653,BACSU,FOK+20,GYRA,1,54,1,47,83,16,61,15,76,47,72,23,35,23,28,60,41,55,58,1,25
sp|P37526,BACSU,FOK+20,YAAC,1,12,3,14,25,23,7,13,20,29,31,11,11,11,17,11,22,14,14,5,22
sp|P21879,BACSU,FOK+20,IMDH,1,36,3,27,38,12,47,11,40,37,34,14,14,17,15,23,28,35,45,1,11
sp|P08750,BACSU,FOK+20,DACA,1,41,3,30,31,15,32,5,23,49,34,16,24,10,7,7,28,35,32,5,16
sp|P37527,BACSU,FOK+20,PDXS,1,41,2,13,29,7,26,4,17,18,19,17,10,11,8,16,8,14,29,1,4
sp|P37528,BACSU,FOK+20,PDXT,1,16,3,7,20,10,20,7,12,7,22,5,6,8,9,10,6,9,17,0,2
sp|P37464,BACSU,FOK+20,SYS,1,30,3,27,49,19,24,9,23,31,37,11,16,19,12,31,19,18,30,3,14
sp|P37529,BACSU,FOK+20,DCK,1,9,1,13,21,12,12,9,16,16,17,7,10,6,7,10,12,14,11,3,11
sp|P37530,BACSU,FOK+20,DGK,1,11,1,14,17,13,7,7,19,20,22,4,7,11,8,6,9,11,9,1,10
tr|A0A164TAS9,BACIU,FOK+20,A0A164TAS9,1,38,0,21,27,19,23,5,28,11,38,6,27,22,29,32,21,31,23,6,20
sp|P37532,BACSU,FOK+20,YAAI,1,15,3,12,17,7,4,6,24,13,14,6,11,5,6,4,7,13,6,2,6
sp|P21335,BACSU,FOK+20,TADA,1,18,5,3,22,5,13,3,7,13,16,6,5,4,4,9,6,6,13,1,2
sp|P09122,BACSU,FOK+20,DPO3X,1,54,8,33,52,19,30,15,43,47,56,13,21,23,27,22,31,21,34,3,11
sp|P24281,BACSU,FOK+20,YAAK,1,8,0,7,11,2,11,0,5,12,7,13,5,2,8,1,0,6,9,0,0
sp|P24277,BACSU,FOK+20,RECR,1,13,5,15,14,4,14,4,16,15,20,7,5,12,6,9,9,8,15,0,7
sp|P37533,BACSU,FOK+20,YAAL,1,4,0,1,11,5,1,0,1,13,10,1,2,1,4,7,3,2,3,2,3
sp|P24282,BACSU,FOK+20,BOFA,1,8,1,0,1,5,11,1,17,4,13,2,2,4,1,0,4,3,9,1,0
sp|P37534,BACSU,FOK+20,GIN,1,1,4,5,3,2,1,3,5,7,5,1,2,3,1,2,5,6,4,0,4
sp|P37467,BACSU,FOK+20,XPAC,1,16,0,5,17,16,7,4,12,19,27,6,4,2,10,14,16,11,8,2,8
sp|P37535,BACSU,FOK+20,YAAN,1,27,0,22,38,6,14,7,30,36,51,9,21,7,33,17,24,17,21,1,5
sp|P37536,BACSU,FOK+20,YAAO,1,38,3,24,35,14,26,22,37,25,50,11,18,30,17,18,35,26,34,1,16
sp|P37537,BACSU,FOK+20,KTHY,1,15,1,13,21,9,16,4,17,14,23,6,7,7,11,11,8,8,15,0,6
sp|P37538,BACSU,FOK+20,DARA,1,6,0,7,5,6,9,2,5,7,9,4,6,5,5,4,5,8,14,0,2
sp|P37539,BACSU,FOK+20,YAAR,1,5,0,11,11,7,7,1,12,18,18,5,6,2,5,8,13,10,5,0,2
sp|P37540,BACSU,FOK+20,HOLB,1,24,5,15,27,13,13,12,20,25,45,12,15,11,26,13,20,11,14,2,6
sp|P37541,BACSU,FOK+20,YAAT,1,13,8,20,26,12,19,4,21,20,25,7,11,7,9,15,8,12,29,1,8
sp|P37542,BACSU,FOK+20,YABA,1,2,3,9,13,5,7,6,7,14,14,2,6,0,9,5,4,6,3,0,4
sp|P37543,BACSU,FOK+20,YABB,1,11,3,17,18,7,13,8,20,21,29,6,9,13,12,12,10,10,18,0,10
sp|O31414,BACSU,FOK+20,YAZA,1,7,1,3,10,5,3,3,2,16,5,2,7,2,1,6,4,6,7,1,8
sp|P37544,BACSU,FOK+20,RSMI,1,24,2,14,33,10,18,8,24,26,22,5,10,11,8,13,15,17,18,4,10
sp|P08874,BACSU,FOK+20,ABRB,1,4,1,6,9,1,7,0,10,11,11,3,4,2,5,4,4,4,8,0,2
sp|P37465,BACSU,FOK+20,SYM,1,39,1,41,67,25,41,12,39,56,65,16,22,32,26,27,26,39,48,10,32
sp|P37545,BACSU,FOK+20,YABD,1,23,3,15,32,12,11,8,22,19,15,9,10,11,4,12,6,14,19,3,7
tr|A0A164VJA0,BACIU,FOK+20,A0A164VJA0,1,36,3,30,33,10,26,6,28,63,27,6,17,10,14,8,32,37,41,3,7
sp|P37547,BACSU,FOK+20,RNM5,1,16,3,14,16,4,13,6,19,17,14,5,5,7,8,12,8,8,10,0,1
sp|P37468,BACSU,FOK+20,RSMA,1,21,1,14,25,13,13,3,25,25,30,6,14,13,13,11,15,16,27,0,7
sp|P37548,BACSU,FOK+20,YABG,1,17,3,18,18,10,18,13,22,25,25,10,9,8,14,17,19,9,20,1,14
sp|P37466,BACSU,FOK+20,VEG,1,7,0,7,6,4,5,0,5,5,9,1,4,1,2,6,9,7,5,0,3
sp|P37549,BACSU,FOK+20,SSPF,1,6,0,4,5,2,7,0,3,4,2,4,5,0,4,7,1,1,3,1,2
sp|P37550,BACSU,FOK+20,ISPE,1,27,4,16,20,6,23,6,20,17,27,11,11,10,9,17,17,14,24,2,8
sp|P37551,BACSU,FOK+20,PURR,1,18,0,11,21,12,23,2,21,19,30,9,16,9,8,11,23,19,24,0,9
sp|P37552,BACSU,FOK+20,RIDA,1,14,1,4,11,6,7,4,8,8,6,4,5,6,6,2,7,7,15,0,4
tr|A0A0D5D0V4,BACIU,FOK+20,A0A0D5D0V4,1,8,0,9,8,4,7,4,7,2,6,3,5,3,1,10,5,6,8,0,1
tr|A0A164VJI3,BACIU,FOK+20,A0A164VJI3,1,39,5,26,34,10,40,12,33,35,27,9,24,14,20,15,21,31,47,0,14
sp|P14193,BACSU,FOK+20,KPRS,1,28,5,17,23,8,19,6,37,19,27,5,17,15,10,17,18,14,24,0,8
sp|P14194,BACSU,FOK+20,CTC,1,16,0,15,22,3,13,5,14,11,16,3,9,11,10,5,14,15,19,0,3
sp|P37470,BACSU,FOK+20,PTH,1,8,2,11,14,7,19,3,11,15,20,6,14,7,3,7,9,8,16,1,7
sp|P37553,BACSU,FOK+20,FIN,1,2,4,5,7,2,4,7,3,2,6,3,4,1,3,3,6,4,5,0,5
sp|P37474,BACSU,FOK+20,MFD,1,71,1,70,116,39,72,23,90,91,118,28,39,35,59,66,71,60,81,3,44
sp|P37554,BACSU,FOK+20,SPOVT,1,12,1,17,14,4,13,2,15,11,13,6,4,5,5,12,15,6,17,0,6
sp|P37555,BACSU,FOK+20,YABM,1,58,7,11,17,30,47,5,39,26,84,13,14,14,19,17,40,23,44,7,17
sp|P37556,BACSU,FOK+20,YABN,1,34,3,38,63,21,21,14,30,38,47,11,14,15,17,20,22,25,38,5,13
sp|P37557,BACSU,FOK+20,YABO,1,6,0,5,8,2,5,0,4,12,9,2,4,1,4,6,4,6,7,0,1
sp|P37558,BACSU,FOK+20,YABP,1,1,0,8,7,6,9,3,3,11,9,5,4,1,6,3,9,2,10,0,3
